# SOURMASH-MANIFEST-VERSION: 1.0,,,,,,,,,,
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
ERR10048397.sig,e94669dab4cf2f7674223cc8daf9973c,e94669da,31,DNA,0,1000,22248886,1,ERR10048397,-
ERR10048397.sig,2aa12bb05b3b685e807b9000a1b4f902,2aa12bb0,51,DNA,0,1000,20831323,1,ERR10048397,-
ERR10048398.sig,ff7d0de9df0cd79c498f2f2cc4ed11fa,ff7d0de9,21,DNA,0,1000,19914635,1,ERR10048398,-
ERR10048398.sig,57c6e00f1c5e039ee54bab7e783551be,57c6e00f,31,DNA,0,1000,22756708,1,ERR10048398,-
ERR10048398.sig,8d57521a8d35635bc1bf3e89192255bf,8d57521a,51,DNA,0,1000,21249170,1,ERR10048398,-
ERR10048399.sig,fb9fe04ddbee5905f4568e587c7c4061,fb9fe04d,21,DNA,0,1000,19570970,1,ERR10048399,-
ERR10048399.sig,2267043bd17c6c86cff5d22282e977c9,2267043b,31,DNA,0,1000,22414217,1,ERR10048399,-
ERR10048399.sig,1ef90c1e0c21f30db236befaa6ba6679,1ef90c1e,51,DNA,0,1000,21039328,1,ERR10048399,-
ERR10048400.sig,2578ab5f2aca817c7209db96f5c7a285,2578ab5f,21,DNA,0,1000,19646781,1,ERR10048400,-
ERR10048400.sig,d87b9b9ae0d475e0f72c7450dbcf691a,d87b9b9a,31,DNA,0,1000,22273277,1,ERR10048400,-
ERR10048400.sig,1d9dcc8d54bff603f9c0da6c57b75dca,1d9dcc8d,51,DNA,0,1000,20680884,1,ERR10048400,-
ERR10048401.sig,fc9f53e91a554a95dd1a5c4d91646cfc,fc9f53e9,21,DNA,0,1000,19403117,1,ERR10048401,-
ERR10048401.sig,9bcc45b318be5a4bc85d45e131144574,9bcc45b3,31,DNA,0,1000,22105118,1,ERR10048401,-
ERR10048401.sig,83bd8385f6100f9c194bc7e83d1d8938,83bd8385,51,DNA,0,1000,20577560,1,ERR10048401,-
ERR10048403.sig,b90d10a2a824ea3ff53766367f8dcc20,b90d10a2,21,DNA,0,1000,20336504,1,ERR10048403,-
ERR10048403.sig,01213a0e0fe9423f4b8c0edde3b7fe86,01213a0e,31,DNA,0,1000,23149323,1,ERR10048403,-
ERR10048403.sig,36d7d39b1b0ba13e604bf89a9f81a6e3,36d7d39b,51,DNA,0,1000,21577488,1,ERR10048403,-
ERR10048404.sig,2b61fd373bd7cbbf1896a176099964ed,2b61fd37,21,DNA,0,1000,21167522,1,ERR10048404,-
ERR10048404.sig,db5b0d2ada9c8abe3f8cbf18bdae9b1a,db5b0d2a,31,DNA,0,1000,24330148,1,ERR10048404,-
ERR10048404.sig,53d60681f653b57fd5efdc9208ef3ba0,53d60681,51,DNA,0,1000,22769322,1,ERR10048404,-
ERR10048407.sig,5b61868a8c5b4599ffd30511bd9e65f6,5b61868a,21,DNA,0,1000,17360067,1,ERR10048407,-
ERR10048407.sig,0b2469289ba16d119043de19dd5f2b0e,0b246928,31,DNA,0,1000,19779502,1,ERR10048407,-
ERR10048407.sig,1260627784a1ff2fc65568f35dd50a44,12606277,51,DNA,0,1000,18580715,1,ERR10048407,-
ERR10048408.sig,d1a837a81b37714589dd6c0032154f01,d1a837a8,21,DNA,0,1000,24187618,1,ERR10048408,-
ERR10048408.sig,85b62d4468ae73511af1992b0ed57da8,85b62d44,31,DNA,0,1000,27826337,1,ERR10048408,-
ERR10048408.sig,dddcd2068e653f582fb57990c0a39528,dddcd206,51,DNA,0,1000,25862659,1,ERR10048408,-
ERR10048409.sig,d61a68aa4888b3f8a62557fa7f18cdc2,d61a68aa,21,DNA,0,1000,18432147,1,ERR10048409,-
ERR10048409.sig,baf63afab6dfaea0e5de3d2414c84a97,baf63afa,31,DNA,0,1000,21023741,1,ERR10048409,-
ERR10048409.sig,5f4740a63c904b5ef6fee31a33bc6b48,5f4740a6,51,DNA,0,1000,19649213,1,ERR10048409,-
ERR10048410.sig,e0c465b6c3f707f630394c43236b6fc1,e0c465b6,21,DNA,0,1000,16877852,1,ERR10048410,-
